model,task,horizon_hours,aqi_bucket,n_samples,rmse,mae,mape
Transformer,h1,1,75-115,913,9.61208844699355,6.399028397859905,6.929931667056653
Transformer,h1,1,115-150,346,14.519500420955346,9.217640606654173,7.100995213627255
Transformer,h1,1,>150,516,23.618521622176782,13.232400328613991,6.503850351499377
Transformer,seq6,1,0-35,2055,9.642106676376088,6.451541350372226,46.789225166940035
Transformer,seq6,1,35-75,1393,12.219248625140697,9.017759658583445,17.282637824059154
Transformer,seq6,1,75-115,913,13.758004420776928,10.35606139225871,11.194612854403067
Transformer,seq6,1,115-150,346,20.083695368267826,14.377139582110278,11.003405107625378
Transformer,seq6,1,>150,516,41.883003092811414,28.410655644050863,13.554119538028983
Transformer,seq6,2,0-35,2054,12.929689066082695,7.57963741733942,53.32843172628492
Transformer,seq6,2,35-75,1394,16.624596708881928,11.329725426957118,21.800626144966415
Transformer,seq6,2,75-115,913,16.53503105963047,11.994426173683324,13.001698805309857
Transformer,seq6,2,115-150,346,23.061036958711984,16.292145933029968,12.547469283255724
Transformer,seq6,2,>150,516,45.36941627133942,31.02853293936382,14.960188994455894
Transformer,seq6,3,0-35,2053,17.78678032434047,9.514454498879804,65.77493361279372
Transformer,seq6,3,35-75,1395,19.85007432322137,13.476718772696765,26.053375061409756
Transformer,seq6,3,75-115,913,19.78938973120069,14.279255850291591,15.372410747945677
Transformer,seq6,3,115-150,346,26.25356155867565,18.747766108871197,14.432249680889193
Transformer,seq6,3,>150,516,50.46875610526921,36.016700486111084,17.480243142202625
Transformer,seq6,4,0-35,2052,22.00988662576305,11.487291578196178,80.79529916934051
Transformer,seq6,4,35-75,1396,22.5310828316145,15.388901376280197,29.912943780535038
Transformer,seq6,4,75-115,913,22.555706551079464,16.590752358243343,17.87886874948078
Transformer,seq6,4,115-150,346,29.69618921559816,21.76400625085555,16.76641298475624
Transformer,seq6,4,>150,516,56.163012899399995,42.179204201860024,20.537691536082516
Transformer,seq6,5,0-35,2051,25.80128805214535,13.489929643391052,96.34728833549848
Transformer,seq6,5,35-75,1397,24.89765218946406,17.211067018887785,33.5607078911652
Transformer,seq6,5,75-115,913,24.202143045961034,18.36354011564892,19.78150410589046
Transformer,seq6,5,115-150,346,32.69015982511005,24.702692445302976,19.043488863684267
Transformer,seq6,5,>150,516,61.949018083549156,48.80954791824947,23.885145360575727
Transformer,seq6,6,0-35,2051,29.221169414815385,15.737420625654098,114.08068582046435
Transformer,seq6,6,35-75,1397,26.09663193666695,18.221004754710215,35.60580168231704
Transformer,seq6,6,75-115,913,25.342287748005845,19.890943951309055,21.483314308538322
Transformer,seq6,6,115-150,346,36.4195965796469,28.600737205130518,22.079444550336163
Transformer,seq6,6,>150,516,67.83351035493543,55.77323949868365,27.428791565400385
XGBoost,h1,1,0-35,2089,7.54462405273332,2.618433567612228,17.405033859911427
XGBoost,h1,1,35-75,1435,7.85254186799861,4.727098825071499,9.025166190186162
XGBoost,h1,1,75-115,913,9.043809929035824,5.636040979208739,6.100792235135874
XGBoost,h1,1,115-150,346,13.879250489588115,8.6533930209213,6.644062196631226
XGBoost,h1,1,>150,516,25.176691877663988,13.313663562654245,6.446862808919287
XGBoost,seq6,1,0-35,2089,7.54462405273332,2.618433567612228,17.405033859911427
XGBoost,seq6,1,35-75,1435,7.85254186799861,4.727098825071499,9.025166190186162
XGBoost,seq6,1,75-115,913,9.043809929035824,5.636040979208739,6.100792235135874
XGBoost,seq6,1,115-150,346,13.879250489588115,8.6533930209213,6.644062196631226
XGBoost,seq6,1,>150,516,25.176691877663988,13.313663562654245,6.446862808919287
XGBoost,seq6,2,0-35,2089,11.59055010796083,4.779573083320504,31.411919894148564
XGBoost,seq6,2,35-75,1435,14.45223252128642,8.64232063684567,16.43936088965296
XGBoost,seq6,2,75-115,913,13.9899503194599,9.864037951497574,10.700262401113408
XGBoost,seq6,2,115-150,346,21.067016960229555,13.692388157515156,10.55979958925805
XGBoost,seq6,2,>150,516,37.62857021555327,22.93683921318693,11.18255331976142
XGBoost,seq6,3,0-35,2089,17.076706926169518,7.642771928564189,51.755026832435405
XGBoost,seq6,3,35-75,1435,17.47736134767032,11.449446622360432,21.84903375733085
XGBoost,seq6,3,75-115,913,18.71658201788017,13.66615325924218,14.696691378306612
XGBoost,seq6,3,115-150,346,26.6338214849543,18.512455171912748,14.252928758194605
XGBoost,seq6,3,>150,516,47.93307847685045,33.28431566984736,16.2437384608955
XGBoost,seq6,4,0-35,2089,21.22532634826575,10.301582456170713,72.59030937467395
XGBoost,seq6,4,35-75,1435,20.401237341669578,13.517766970920002,26.05482595967863
XGBoost,seq6,4,75-115,913,22.55577152003863,16.631950270749012,17.895162399154707
XGBoost,seq6,4,115-150,346,29.519716977233095,21.33010710488398,16.4203388647012
XGBoost,seq6,4,>150,516,57.35191791859835,43.18932062373742,21.12054916805961
XGBoost,seq6,5,0-35,2089,25.137904206956193,13.240522562521619,97.16298927326363
XGBoost,seq6,5,35-75,1435,22.808611493262656,15.412909460298694,29.763487906599206
XGBoost,seq6,5,75-115,913,23.390819472980546,17.788046409146528,19.12722064056607
XGBoost,seq6,5,115-150,346,32.75054929114555,24.469532485703485,18.729218403593567
XGBoost,seq6,5,>150,516,64.01056519123286,50.637169111411986,24.620964284375113
XGBoost,seq6,6,0-35,2088,28.39854547735584,16.062942391854392,121.0940318826301
XGBoost,seq6,6,35-75,1435,24.11782838422472,16.810881268141095,32.540713660551454
XGBoost,seq6,6,75-115,913,24.20754428273702,18.614852349830723,20.05909625255956
XGBoost,seq6,6,115-150,346,35.64741082845723,27.949358214261974,21.46906974909763
XGBoost,seq6,6,>150,516,69.70154930386371,56.59180640628394,27.637020024334724
