model,task,horizon_hours,hour,n_samples,rmse,mae,mape,mean_abs_error
ARIMA,seq6,6,23,221,39.73312746714256,28.067216125352864,64.25914643743582,28.067216125352864
LSTM,h1,1,0,218,37.46796482276103,13.985765846497422,33.89379473924311,13.985765846497422
LSTM,h1,1,1,218,14.058312935791895,7.257906235686136,13.950624285887969,7.257906235686136
LSTM,h1,1,2,218,7.941758914341537,4.902253802763212,12.07183448926069,4.902253802763212
LSTM,h1,1,3,218,9.561051436293154,5.052691914619656,11.155616137243705,5.052691914619656
LSTM,h1,1,4,219,6.473079524917642,4.231836375580531,10.717264045653826,4.231836375580531
LSTM,h1,1,5,219,6.469000929597364,4.107863456691237,10.300491368400861,4.107863456691237
LSTM,h1,1,6,219,6.684168248381717,4.2683941871608235,10.77151629216102,4.2683941871608235
LSTM,h1,1,7,219,5.510103624079152,3.6768973820830047,10.27725436995193,3.6768973820830047
LSTM,h1,1,8,219,5.819386330576092,3.7884338457290445,9.22986965920124,3.7884338457290445
LSTM,h1,1,9,219,6.40803706072545,4.6820948570286305,11.737425179187138,4.6820948570286305
LSTM,h1,1,10,219,7.652014308897849,5.0829967733931865,12.218166403027277,5.0829967733931865
LSTM,h1,1,11,219,7.595014318634139,4.7231791117419935,11.642008405185212,4.7231791117419935
LSTM,h1,1,12,219,6.378700769457279,4.230206938094744,10.834472938975006,4.230206938094744
LSTM,h1,1,13,219,11.118173847836642,5.024274151074832,10.190767440962738,5.024274151074832
LSTM,h1,1,14,219,7.367141320779296,4.462879154780141,10.653668754995428,4.462879154780141
LSTM,h1,1,15,219,7.7366269820377696,4.579744217058295,12.181463083241427,4.579744217058295
LSTM,h1,1,16,219,7.529266895565594,4.806322646467652,14.410316783061075,4.806322646467652
LSTM,h1,1,17,219,8.666371150134376,5.090432214954673,12.657558550723724,5.090432214954673
LSTM,h1,1,18,219,8.072459581038947,4.925394968355083,11.522298423094018,4.925394968355083
LSTM,h1,1,19,219,8.013772428528329,5.227113841331168,12.156995577760235,5.227113841331168
LSTM,h1,1,20,219,7.847171320116925,5.205806266227267,11.715725577552396,5.205806266227267
LSTM,h1,1,21,219,8.215564596780244,5.379775552444807,12.658588306217633,5.379775552444807
LSTM,h1,1,22,219,9.994339111066047,5.969078129285003,13.930557245713631,5.969078129285003
LSTM,h1,1,23,219,7.713936421823959,5.120117522810148,11.493370194153755,5.120117522810148
LSTM,seq6,1,0,217,42.360209270935705,23.330085007276402,42.52064961045844,23.330085007276402
LSTM,seq6,1,1,217,29.806987802244855,18.062546736633724,27.43315730823561,18.062546736633724
LSTM,seq6,1,2,217,26.31759369770908,16.629398381105766,25.60376676899876,16.629398381105766
LSTM,seq6,1,3,217,25.293317384823958,15.772406725290184,24.726328825869377,15.772406725290184
LSTM,seq6,1,4,218,24.38869085900814,14.955715218815234,23.717713964028263,14.955715218815234
LSTM,seq6,1,5,218,22.617424149280566,13.1793049672328,22.703440195205175,13.1793049672328
LSTM,seq6,1,6,218,21.784858508382946,11.91105369909094,21.879726157462404,11.91105369909094
LSTM,seq6,1,7,218,19.324048890192472,11.42860829939536,22.497653712824363,11.42860829939536
LSTM,seq6,1,8,218,18.41416369604889,11.581668562845353,22.45276620800873,11.581668562845353
LSTM,seq6,1,9,218,19.608822069964276,12.640151058861969,24.396129248186725,12.640151058861969
LSTM,seq6,1,10,218,21.728040847225284,13.395487076645598,24.478049523492786,13.395487076645598
LSTM,seq6,1,11,218,22.423470733317583,14.069778779231081,26.278815970278764,14.069778779231081
LSTM,seq6,1,12,218,22.030428657138025,14.451688849597897,26.93379508916683,14.451688849597897
LSTM,seq6,1,13,218,25.27003731872188,14.83339163797711,26.42201811581822,14.83339163797711
LSTM,seq6,1,14,218,23.731476667398905,14.162042300635521,28.175801886831298,14.162042300635521
LSTM,seq6,1,15,218,22.832554111456364,13.742314434926444,31.076405912454973,13.742314434926444
LSTM,seq6,1,16,218,22.816261672443098,14.393839615200637,34.631242300280505,14.393839615200637
LSTM,seq6,1,17,218,23.521288955700985,14.666336654523096,31.95216494997018,14.666336654523096
LSTM,seq6,1,18,218,24.925507846549245,15.314633791599798,30.487747041511216,15.314633791599798
LSTM,seq6,1,19,217,25.848007549011715,15.97755999059721,27.717079536710354,15.97755999059721
LSTM,seq6,1,20,217,26.364681412823597,16.123625245511807,26.3170254086889,16.123625245511807
LSTM,seq6,1,21,217,27.31916380072409,16.566003531354912,28.8038902575244,16.566003531354912
LSTM,seq6,1,22,217,28.95249890568412,17.739736335068805,30.009787792675574,17.739736335068805
LSTM,seq6,1,23,217,28.34139738416779,16.856999326960832,25.70733600724411,16.856999326960832
LSTM,seq6,2,0,217,42.97126692304693,24.357727171638594,47.34621393017602,24.357727171638594
LSTM,seq6,2,1,217,41.07740771890815,23.572081598818027,45.08858656765586,23.572081598818027
LSTM,seq6,2,2,217,28.411100276589096,18.007131754527993,30.374608330007764,18.007131754527993
LSTM,seq6,2,3,217,26.160433704898388,16.63177296862624,28.507702425489732,16.63177296862624
LSTM,seq6,2,4,217,24.781332304493095,15.842627562685497,27.075322992839794,15.842627562685497
LSTM,seq6,2,5,218,23.32165876773303,14.422290071434931,26.800984478741206,14.422290071434931
LSTM,seq6,2,6,218,20.893514767096597,12.709303879956586,25.214690277838365,12.709303879956586
LSTM,seq6,2,7,218,19.457962541726058,11.779540702837323,23.70279878168286,11.779540702837323
LSTM,seq6,2,8,218,18.651612368335805,11.882400926100004,22.699628451502146,11.882400926100004
LSTM,seq6,2,9,218,19.940707615489554,13.017213567681269,25.820672589608456,13.017213567681269
LSTM,seq6,2,10,218,22.66550413304535,14.051065110285348,27.629377616330736,14.051065110285348
LSTM,seq6,2,11,218,24.566981277886583,14.948558138051164,30.690077528014832,14.948558138051164
LSTM,seq6,2,12,218,22.29330340725183,14.569489848723105,29.978834541431482,14.569489848723105
LSTM,seq6,2,13,218,21.961130370028886,14.228229391465494,27.928608084668618,14.228229391465494
LSTM,seq6,2,14,218,25.176611168701914,14.611511269840625,28.13312753335567,14.611511269840625
LSTM,seq6,2,15,218,24.88180312868513,14.444708430438961,30.280005795533825,14.444708430438961
LSTM,seq6,2,16,218,23.451524688780054,14.734029059016377,37.123423846100046,14.734029059016377
LSTM,seq6,2,17,218,25.15677404293469,15.16595449141406,32.34963173305015,15.16595449141406
LSTM,seq6,2,18,218,25.987365513483176,15.54015366746745,29.749464547160688,15.54015366746745
LSTM,seq6,2,19,218,27.635418312986808,16.60946250618051,29.38360134173798,16.60946250618051
LSTM,seq6,2,20,217,27.434378917604047,17.22287074981197,28.86820290731404,17.22287074981197
LSTM,seq6,2,21,217,27.501226231285997,17.017700513936408,31.43781206516324,17.017700513936408
LSTM,seq6,2,22,217,29.56734497855543,18.281508876431374,35.62558553795524,18.281508876431374
LSTM,seq6,2,23,217,29.570964511913722,18.30808916179815,33.4357975801856,18.30808916179815
LSTM,seq6,3,0,217,43.47538671375919,25.274004551672167,55.0596200603368,25.274004551672167
LSTM,seq6,3,1,217,42.053011859744984,24.857408527954384,52.24250236911699,24.857408527954384
LSTM,seq6,3,2,217,40.14541331996093,24.028005683477023,50.44756366575781,24.028005683477023
LSTM,seq6,3,3,217,28.765284629288967,18.23865249519524,34.81570177878315,18.23865249519524
LSTM,seq6,3,4,217,27.278580058558198,17.355303562181884,35.62659232695052,17.355303562181884
LSTM,seq6,3,5,217,25.349347337955933,15.910869712653797,32.648374424418364,15.910869712653797
LSTM,seq6,3,6,218,23.178095000339045,14.471012244530774,32.08290746939673,14.471012244530774
LSTM,seq6,3,7,218,22.124720589001747,13.946269418121478,30.740075291273765,13.946269418121478
LSTM,seq6,3,8,218,19.83680520903069,12.868825649996417,27.237173951349348,12.868825649996417
LSTM,seq6,3,9,218,21.59699954910528,13.987461888462033,28.45804000571585,13.987461888462033
LSTM,seq6,3,10,218,24.51968921328765,15.511638969456383,31.976137831004152,15.511638969456383
LSTM,seq6,3,11,218,27.07479233930978,16.74104757483946,38.03120622506091,16.74104757483946
LSTM,seq6,3,12,218,26.092605327121166,16.489044250698264,39.95991492740997,16.489044250698264
LSTM,seq6,3,13,218,23.28196964712774,15.211266301093845,33.965776520280826,15.211266301093845
LSTM,seq6,3,14,218,23.356935908157343,14.985273359018729,31.743429695561925,14.985273359018729
LSTM,seq6,3,15,218,27.19397755022585,15.738240261690333,32.35998462673883,15.738240261690333
LSTM,seq6,3,16,218,26.864348041360003,16.132820702474053,41.64265464595862,16.132820702474053
LSTM,seq6,3,17,218,26.73534205453994,16.20011657749841,38.367419968119115,16.20011657749841
LSTM,seq6,3,18,218,28.72673180371653,17.013311617964998,33.06286304977771,17.013311617964998
LSTM,seq6,3,19,218,30.003200575459807,18.220448513643458,32.8582569460911,18.220448513643458
