model,task,horizon_hours,dayperiod,n_samples,rmse,mae,mape,mean_abs_error
LSTM,seq6,3,morning_peak,872,21.717830113821343,13.818392300277676,29.629549179433923,13.818392300277676
LSTM,seq6,3,night,651,30.277369135514892,19.06345573475101,39.20071873914887,19.06345573475101
LSTM,seq6,3,overnight,1302,35.31848243081038,20.944040755522416,43.47339243756061,20.944040755522416
LSTM,seq6,4,daytime,1526,27.896717731142793,17.482324044326344,43.57212800138606,17.482324044326344
LSTM,seq6,4,evening_peak,872,31.94950760664708,19.43876511022585,40.89380263353446,19.43876511022585
LSTM,seq6,4,morning_peak,871,24.5805508555394,15.69863404691151,37.64880534498377,15.69863404691151
LSTM,seq6,4,night,652,32.315858123373566,20.546877899052905,44.38682122489916,20.546877899052905
LSTM,seq6,4,overnight,1302,38.290079665545385,23.301120634635655,54.67639473277062,23.301120634635655
LSTM,seq6,5,daytime,1526,30.145303217740068,19.285624088497336,53.47811405392577,19.285624088497336
LSTM,seq6,5,evening_peak,872,35.00311163191541,21.466227200053154,48.3633080617891,21.466227200053154
LSTM,seq6,5,morning_peak,870,28.04208883744011,18.078629540849008,48.64312278123328,18.078629540849008
LSTM,seq6,5,night,653,34.850852143221225,22.418495876318097,48.99874283462475,22.418495876318097
LSTM,seq6,5,overnight,1302,40.84877947388952,25.494113197707545,64.92294176864326,25.494113197707545
LSTM,seq6,6,daytime,1526,32.94302742556677,21.372716911498404,64.8497225083102,21.372716911498404
LSTM,seq6,6,evening_peak,872,37.34955761095433,23.27630423569898,56.071953171806165,23.27630423569898
LSTM,seq6,6,morning_peak,869,31.46314699630909,20.59817813098499,59.89621668927868,20.59817813098499
LSTM,seq6,6,night,654,37.93222778697327,24.649396352447138,54.54878464329354,24.649396352447138
LSTM,seq6,6,overnight,1302,42.97477653106487,27.377417664374075,74.59514300365306,27.377417664374075
Prophet,h1,1,daytime,1547,9.100671012931935,6.789850031311295,28.136484129231686,6.789850031311295
Prophet,h1,1,evening_peak,884,9.034334281848116,6.665850625970062,24.937554651708734,6.665850625970062
Prophet,h1,1,morning_peak,884,8.319546268567045,6.278385153687245,23.839039302481712,6.278385153687245
Prophet,h1,1,night,663,8.848333710474149,6.2829720872236265,19.640538875459413,6.2829720872236265
Prophet,h1,1,overnight,1321,17.925189551834922,7.388762814995633,21.53175586476352,7.388762814995633
Prophet,seq6,1,daytime,1547,9.100671012931935,6.789850031311295,28.136484129231686,6.789850031311295
Prophet,seq6,1,evening_peak,884,9.034334281848116,6.665850625970062,24.937554651708734,6.665850625970062
Prophet,seq6,1,morning_peak,884,8.319546268567045,6.278385153687245,23.839039302481712,6.278385153687245
Prophet,seq6,1,night,663,8.848333710474149,6.2829720872236265,19.640538875459413,6.2829720872236265
Prophet,seq6,1,overnight,1321,17.925189551834922,7.388762814995633,21.53175586476352,7.388762814995633
Prophet,seq6,2,daytime,1547,17.04976243678953,12.747185036985012,53.69135738311852,12.747185036985012
Prophet,seq6,2,evening_peak,884,16.389983426214023,12.259325610396008,46.22796353956266,12.259325610396008
Prophet,seq6,2,morning_peak,884,15.571903994379303,11.33653149033978,42.20548506174293,11.33653149033978
Prophet,seq6,2,night,663,16.656729253916904,12.028155883613286,41.2338540416227,12.028155883613286
Prophet,seq6,2,overnight,1321,26.638324279969495,13.295430415442675,40.22650646439773,13.295430415442675
Prophet,seq6,3,daytime,1547,22.967365959351955,16.810253345309974,69.53521050040324,16.810253345309974
Prophet,seq6,3,evening_peak,884,21.862452603861094,16.17509013894676,61.71240724087445,16.17509013894676
Prophet,seq6,3,morning_peak,884,20.737732912656636,14.621289840341513,53.41672104922536,14.621289840341513
Prophet,seq6,3,night,663,22.156111001518855,16.446167331358428,59.73639687851093,16.446167331358428
Prophet,seq6,3,overnight,1321,32.806004213964385,17.723157808759982,55.60802412730481,17.723157808759982
Prophet,seq6,4,daytime,1547,26.464595485321396,18.477320250672527,70.32857425796864,18.477320250672527
Prophet,seq6,4,evening_peak,884,25.769269111102332,17.877423903725646,62.862925321938704,17.877423903725646
Prophet,seq6,4,morning_peak,884,24.087777288009484,16.49609423989952,57.217300333882505,16.49609423989952
Prophet,seq6,4,night,663,24.91442702542707,18.445591782286765,64.87742218345221,18.445591782286765
Prophet,seq6,4,overnight,1321,36.14920987090711,20.520319618060864,62.46242557920972,20.520319618060864
Prophet,seq6,5,daytime,1547,30.47407047765368,21.44086373854454,85.55000012381737,21.44086373854454
Prophet,seq6,5,evening_peak,884,29.250407187611778,20.04204391625772,71.29700779429022,20.04204391625772
Prophet,seq6,5,morning_peak,884,29.21197885810815,19.823990652505945,70.68849260412628,19.823990652505945
Prophet,seq6,5,night,663,28.356925823599955,21.195326962418942,74.39186278237393,21.195326962418942
Prophet,seq6,5,overnight,1321,38.63951503976834,23.566206480536867,72.70205354291588,23.566206480536867
Prophet,seq6,6,daytime,1547,33.52233035863226,23.36446337400184,93.0324515931647,23.36446337400184
Prophet,seq6,6,evening_peak,884,31.889285705979486,21.31823434270625,71.00266916634214,21.31823434270625
Prophet,seq6,6,morning_peak,884,33.53733332423703,22.52175041940614,78.51957400485374,22.52175041940614
Prophet,seq6,6,night,663,31.736866077987813,22.936287549539703,75.15043447690796,22.936287549539703
Prophet,seq6,6,overnight,1320,39.82350948438035,25.584866363226993,75.24932777361387,25.584866363226993
Transformer,h1,1,daytime,1533,8.147715157901995,4.9536998842715905,12.38026338716774,4.9536998842715905
Transformer,h1,1,evening_peak,876,8.96533245542176,5.275878936188406,12.380779013510283,5.275878936188406
Transformer,h1,1,morning_peak,876,6.455227824202703,4.476164370366972,11.562540148090159,4.476164370366972
Transformer,h1,1,night,657,9.675405611709472,5.936471946344709,12.650689962396564,5.936471946344709
Transformer,h1,1,overnight,1310,17.138493461945032,6.721540472525676,14.728868991591373,6.721540472525676
Transformer,seq6,1,daytime,1526,12.948084215830539,8.87637676382596,26.846370739022817,8.87637676382596
Transformer,seq6,1,evening_peak,870,14.639910809503787,10.345018622724488,27.865424212137214,10.345018622724488
Transformer,seq6,1,morning_peak,872,14.906889210426279,10.31527758598191,26.064285419237653,10.31527758598191
Transformer,seq6,1,night,651,16.250028573715635,10.810717272593678,25.25014954280084,10.810717272593678
Transformer,seq6,1,overnight,1304,24.90162606429233,12.523706438259845,28.276052562623256,12.523706438259845
Transformer,seq6,2,daytime,1526,16.8227705263979,10.941058231446878,30.983798410017847,10.941058231446878
Transformer,seq6,2,evening_peak,871,17.13270168108001,11.617136189365496,29.87670085431389,11.617136189365496
Transformer,seq6,2,morning_peak,872,15.079963002927023,10.475022255212341,28.649218886849642,10.475022255212341
Transformer,seq6,2,night,651,19.69163754628472,12.980958741015186,31.618496192248006,12.980958741015186
Transformer,seq6,2,overnight,1303,28.871649655876045,15.012682315759813,34.52683177742522,15.012682315759813
Transformer,seq6,3,daytime,1526,21.247705007022027,13.300698664757089,37.38190282876036,13.300698664757089
Transformer,seq6,3,evening_peak,872,20.77513295663528,13.55949286467165,35.486434076568976,13.55949286467165
Transformer,seq6,3,morning_peak,872,18.237744971610734,12.490317520130118,34.99005538956985,12.490317520130118
Transformer,seq6,3,night,651,23.29312793253531,15.369355705797032,38.37080261101995,15.369355705797032
