model,horizon_hours,hour,n_samples,rmse,mae,mape,mean_abs_error
LSTM,1,20,287,10.0511539134409,6.017244008362369,11.451366029127096,6.017244008362369
LSTM,1,21,287,10.09983008329016,6.049184672473868,11.862090123627327,6.049184672473868
LSTM,1,22,287,9.660922570296366,5.647607505574913,11.758579957970392,5.647607505574913
LSTM,1,23,287,7.184314577957654,4.749456611498259,10.125653025043553,4.749456611498259
LSTM,12,0,286,58.9316392700436,41.36356833916085,94.88744688546366,41.36356833916085
LSTM,12,1,287,57.22565421526878,40.48397079442508,100.67232201577968,40.48397079442508
LSTM,12,2,286,54.850998882021116,38.74060994055944,97.65177788322379,38.74060994055944
LSTM,12,3,287,53.70218027454465,37.66888496271777,94.98183304750228,37.66888496271777
LSTM,12,4,285,51.722032218888955,35.9581563754386,88.27094335379526,35.9581563754386
LSTM,12,5,286,50.60833820281017,34.28570947412587,85.9994791328229,34.28570947412587
LSTM,12,6,285,49.903428366928225,33.793973501754394,85.633897679407,33.793973501754394
LSTM,12,7,285,49.27133698356588,33.40840934035087,84.85076245218653,33.40840934035087
LSTM,12,8,285,49.26772534358462,33.817724973684214,81.71244031323434,33.817724973684214
LSTM,12,9,285,51.60371268584952,34.952516840350874,80.82405368244304,34.952516840350874
LSTM,12,10,285,54.99341229281801,37.35378888070175,84.36092271455851,37.35378888070175
LSTM,12,11,285,57.51801320159434,39.26096362807017,95.24456111152764,39.26096362807017
LSTM,12,12,286,57.9165697512008,39.95801329545455,107.25123188681141,39.95801329545455
LSTM,12,13,287,55.91816407001617,39.100113020905916,110.36521851623124,39.100113020905916
LSTM,12,14,287,56.553708679673484,38.933490954703835,110.83820394023938,38.933490954703835
LSTM,12,15,287,55.59079614826952,38.19908718641115,114.24983988825765,38.19908718641115
LSTM,12,16,287,54.7790201419664,38.016429280487806,114.28381773609206,38.016429280487806
LSTM,12,17,287,56.108210480640984,38.32479157665505,108.563043025333,38.32479157665505
LSTM,12,18,287,56.73769529629113,38.505627796167246,101.97813958305093,38.505627796167246
LSTM,12,19,287,59.086721315051456,40.41679683275262,97.74095471014695,40.41679683275262
LSTM,12,20,287,60.24678823521135,41.226119090592334,92.53554619864245,41.226119090592334
LSTM,12,21,288,59.76161237943757,41.225178093749996,96.3506613971735,41.225178093749996
LSTM,12,22,288,60.52861169432718,42.030960661458344,97.54683601512792,42.030960661458344
LSTM,12,23,287,60.46941766283306,42.550871703832755,93.437028266588,42.550871703832755
Transformer,1,0,286,9.167271844739714,5.340862502097902,10.744651640898512,5.340862502097902
Transformer,1,1,287,8.627265966074916,5.173037833797909,9.709088454535673,5.173037833797909
Transformer,1,2,288,9.2160910813502,5.347720257986111,10.36282378991274,5.347720257986111
Transformer,1,3,288,8.397241061301768,4.555436683333334,9.188563176706941,4.555436683333334
Transformer,1,4,288,10.848784601944573,5.023787728472222,10.176158101175819,5.023787728472222
Transformer,1,5,288,6.777072801271817,4.374751684375001,10.370571478318341,4.374751684375001
Transformer,1,6,288,6.525826824076743,4.3431354225694445,10.580613598319738,4.3431354225694445
Transformer,1,7,288,5.888398603630422,4.115104517708333,10.740494439260386,4.115104517708333
Transformer,1,8,288,7.973610818656768,4.585350302430555,10.144446055780687,4.585350302430555
Transformer,1,9,288,7.471831602101871,4.625752978819445,10.578245327941602,4.625752978819445
Transformer,1,10,289,8.285583055771435,5.193333975432526,10.954431020865108,5.193333975432526
Transformer,1,11,289,7.970922361665262,4.847240296193772,11.383573390447951,4.847240296193772
Transformer,1,12,288,8.245972879836831,5.215343902777779,12.0000760740632,5.215343902777779
Transformer,1,13,288,8.7940144364856,5.356851464930555,11.866661962529607,5.356851464930555
Transformer,1,14,289,7.45656487555489,4.86060165432526,11.602378014929863,4.86060165432526
Transformer,1,15,288,10.078650027137952,5.628258584027778,13.481103026790958,5.628258584027778
Transformer,1,16,289,14.263886319460978,6.388344164705883,14.521078105873375,6.388344164705883
Transformer,1,17,287,9.448020468237614,5.804964738327526,13.425947798562696,5.804964738327526
Transformer,1,18,288,9.567174011938784,5.665070787152778,12.992420886045078,5.665070787152778
Transformer,1,19,287,9.890897944547813,5.734290609059232,11.420566585504211,5.734290609059232
Transformer,1,20,287,9.526059668625901,5.810128794425087,11.297229805920855,5.810128794425087
Transformer,1,21,287,9.255608779602545,5.9734196836236935,11.654029843184244,5.9734196836236935
Transformer,1,22,287,8.620535332466568,5.537535728222997,11.402352082338231,5.537535728222997
Transformer,1,23,287,7.078226773489606,4.85997976271777,9.752712894902341,4.85997976271777
Transformer,12,0,286,49.68552206126258,34.478366407342655,116.96243659031403,34.478366407342655
Transformer,12,1,287,49.023109135869085,34.37628172125436,125.02855335183551,34.37628172125436
Transformer,12,2,286,43.21649603011372,31.286681681818187,106.2386868680767,31.286681681818187
Transformer,12,3,287,42.706589552132456,30.48289280836237,101.58603915536872,30.48289280836237
Transformer,12,4,285,41.801380614222914,30.270267424561403,93.92642135887998,30.270267424561403
Transformer,12,5,286,43.42839375174616,30.87650041083916,92.27801171886955,30.87650041083916
Transformer,12,6,285,46.457242765701956,32.56887682280702,96.74574502547819,32.56887682280702
Transformer,12,7,285,47.903021243580156,33.09275058596491,98.87668461228813,33.09275058596491
Transformer,12,8,285,46.645930019891765,32.3986233877193,97.01275016971175,32.3986233877193
Transformer,12,9,285,48.01716611162527,33.23234060877193,100.97523145236845,33.23234060877193
Transformer,12,10,285,49.74208964670498,34.01511140877193,106.84248980443216,34.01511140877193
Transformer,12,11,285,50.978268497951845,34.9944087245614,120.19168666033669,34.9944087245614
Transformer,12,12,286,49.34434473352037,34.25142482692308,126.48143820447255,34.25142482692308
Transformer,12,13,287,47.93432762624809,32.70122828397213,123.29154132305015,32.70122828397213
Transformer,12,14,287,50.53263850293669,34.607167810104535,125.45812213663979,34.607167810104535
Transformer,12,15,287,50.620501431745055,34.38523287804878,124.71538438565359,34.38523287804878
Transformer,12,16,287,50.83992670208745,34.394912857142856,132.89889902501469,34.394912857142856
Transformer,12,17,287,49.06886706285507,32.903855980836234,124.8948792230805,32.903855980836234
Transformer,12,18,287,47.92954055621049,32.20050667770035,122.51972365823987,32.20050667770035
Transformer,12,19,287,47.02389225709632,32.12357288327526,110.38913480512826,32.12357288327526
Transformer,12,20,287,49.03106522924046,33.63072940592334,106.60386761791116,33.63072940592334
Transformer,12,21,288,48.664309386521765,33.57455482291667,106.78755714776118,33.57455482291667
Transformer,12,22,288,48.8897149518772,33.83197563020833,109.17126049537296,33.83197563020833
Transformer,12,23,287,49.37771608249326,34.42890564111498,108.14533534535518,34.42890564111498
XGBoost,1,0,288,8.874076156229297,4.878874858333333,9.792631485393605,4.878874858333333
XGBoost,1,1,289,8.963625645494037,4.885273378892734,9.903384174896262,4.885273378892734
XGBoost,1,2,290,9.670858478721012,4.706291591724137,9.13537462085509,4.706291591724137
XGBoost,1,3,290,7.706021426648436,4.258065914482758,9.292083577413068,4.258065914482758
XGBoost,1,4,290,9.634016386018068,4.2172850606896555,8.733213052211998,4.2172850606896555
XGBoost,1,5,290,7.4329390970849865,4.362028438275862,9.93555705553974,4.362028438275862
XGBoost,1,6,290,6.6568013867784055,4.044634962758621,10.010332908531796,4.044634962758621
XGBoost,1,7,290,5.687187429697188,3.703997921379309,9.71520858481625,3.703997921379309
XGBoost,1,8,290,7.461132618825857,4.195493665517241,9.205197613165272,4.195493665517241
XGBoost,1,9,290,7.687063215456035,4.750428898275862,10.142016414189778,4.750428898275862
XGBoost,1,10,291,7.25951430613563,4.750518264261169,9.881590130899554,4.750518264261169
XGBoost,1,11,291,7.40083592334563,4.673805762886598,9.669894785504491,4.673805762886598
XGBoost,1,12,290,8.583332889649462,5.032306648620691,10.392271915391897,5.032306648620691
XGBoost,1,13,290,9.518517992119792,4.940752704827587,8.96642405677065,4.940752704827587
XGBoost,1,14,291,7.3680175542548865,4.450036627491409,9.384362582726617,4.450036627491409
XGBoost,1,15,290,9.757300039212478,5.073463511034483,11.545212847820743,5.073463511034483
XGBoost,1,16,291,12.130754303624993,5.641358726804124,12.258599670335649,5.641358726804124
XGBoost,1,17,289,8.797032304108596,5.148712044290657,12.013670394471342,5.148712044290657
XGBoost,1,18,290,9.628398396314978,5.388100893103449,11.411466998937374,5.388100893103449
XGBoost,1,19,289,9.383060725196202,5.326067915224914,10.465432582658233,5.326067915224914
XGBoost,1,20,289,10.515308765162768,5.811445835986159,11.17295385270549,5.811445835986159
XGBoost,1,21,289,9.007522709965203,5.546921958131488,10.812034664623162,5.546921958131488
XGBoost,1,22,289,8.812611174270586,5.2354930262975765,10.290102811442592,5.2354930262975765
XGBoost,1,23,289,6.886949410896072,4.4707200460207615,8.97625320821306,4.4707200460207615
XGBoost,12,0,290,46.515446271910946,33.04040561034483,114.30640139831067,33.04040561034483
XGBoost,12,1,291,45.854046912589986,32.86844216151203,125.30756091023734,32.86844216151203
XGBoost,12,2,290,42.670268342172996,31.46115104827586,116.1875727877005,31.46115104827586
XGBoost,12,3,291,43.10102849105768,31.009639074570444,112.80660270763987,31.009639074570444
XGBoost,12,4,289,40.284262576503245,28.891353683391,104.52185723266072,28.891353683391
XGBoost,12,5,289,41.15490212526081,28.649413556055357,104.40153827019441,28.649413556055357
XGBoost,12,6,288,42.91680372893871,29.28947054027778,98.0161328707571,29.28947054027778
XGBoost,12,7,288,41.88410384434895,29.647066871527777,98.77837439477301,29.647066871527777
XGBoost,12,8,288,42.52953040195858,30.110688340625003,98.926164129555,30.110688340625003
XGBoost,12,9,288,43.97106162407589,30.921383934375,99.7991910192593,30.921383934375
XGBoost,12,10,288,45.35960509185216,31.60706563541667,105.16603017268058,31.60706563541667
XGBoost,12,11,288,47.256679021837854,32.697826364583335,118.4061625595626,32.697826364583335
XGBoost,12,12,289,46.46117494290901,32.103424001038064,128.06533666185925,32.103424001038064
XGBoost,12,13,290,43.902641921818955,31.11765086310345,130.69607454990822,31.11765086310345
XGBoost,12,14,290,44.826205150212196,31.41672809206896,127.73041075686294,31.41672809206896
XGBoost,12,15,290,45.315702259274154,31.53703795582759,134.87843520035,31.53703795582759
XGBoost,12,16,290,44.92368969603075,31.874624795517242,135.07760299445005,31.874624795517242
XGBoost,12,17,290,46.145985979251726,32.592854567137934,129.91730850446856,32.592854567137934
XGBoost,12,18,290,45.37277420774017,32.2417999045,116.53401341784067,32.2417999045
XGBoost,12,19,290,48.79766085303789,34.24264550689655,113.39859271325268,34.24264550689655
XGBoost,12,20,291,51.0394129907148,36.08090691752577,109.41968259415387,36.08090691752577
XGBoost,12,21,292,49.973404335496774,34.558671540410955,108.9838182574824,34.558671540410955
XGBoost,12,22,292,49.628275431206404,34.11512488527397,112.84394300344833,34.11512488527397
XGBoost,12,23,291,48.883167911414,33.550959902749135,105.48442202373008,33.550959902749135
